namespace,servers,versions,recurring
io.github.sadri-dridi,2365,2365,True
io.github.pipeworx-io,1590,1590,True
io.github.mcp-dir,1113,1113,True
io.github.mrfentmen,739,739,True
io.github.Evozim,375,375,True
io.github.CSOAI-ORG,354,354,True
ai.smithery,213,213,True
io.github.theluckystrike,161,161,True
io.github.jmshinhwa,141,141,True
io.github.cyanheads,129,129,True
io.github.codespar,127,127,True
app.wishpool,125,125,True
io.github.Wxt-ai,122,122,True
com.a2awire,110,110,True
eu.ansvar,106,106,True
io.github.Br0ski777,101,101,True
io.usefulapi,98,98,True
ai.getvda,94,94,True
io.github.WYRE-AI,79,79,True
com.mcparmory,76,76,True
io.github.nirholas,72,72,True
io.github.chrischall,70,70,True
io.github.Servosity,67,67,True
io.tooloracle,61,61,True
io.github.srotzin,60,60,True
