versions_published,servers,servers_pct
1,22182,62.7
2,5360,15.1
3,2200,6.2
4,1412,4.0
5,754,2.1
6,521,1.5
7,382,1.1
8,329,0.9
9,301,0.9
10,182,0.5
11,173,0.5
12,137,0.4
13,144,0.4
14,103,0.3
15,96,0.3
16,91,0.3
17,81,0.2
18,77,0.2
19,53,0.1
20,54,0.2
21,48,0.1
22,39,0.1
23,48,0.1
24,37,0.1
25,26,0.1
26,22,0.1
27,30,0.1
28,22,0.1
29,19,0.1
30,30,0.1
31,15,0.0
32,16,0.0
33,22,0.1
34,20,0.1
35,13,0.0
36,15,0.0
37,20,0.1
38,6,0.0
39,11,0.0
40,8,0.0
41,16,0.0
42,18,0.1
43,10,0.0
44,8,0.0
45,6,0.0
46,7,0.0
47,7,0.0
48,6,0.0
49,8,0.0
50,6,0.0
51,12,0.0
52,7,0.0
53,7,0.0
54,6,0.0
55,3,0.0
56,5,0.0
57,4,0.0
58,5,0.0
59,6,0.0
61,5,0.0
62,3,0.0
63,5,0.0
64,4,0.0
65,3,0.0
66,2,0.0
67,4,0.0
68,3,0.0
69,5,0.0
70,3,0.0
71,1,0.0
72,3,0.0
73,1,0.0
74,3,0.0
75,3,0.0
76,2,0.0
77,2,0.0
78,2,0.0
79,1,0.0
80,7,0.0
81,1,0.0
82,3,0.0
84,1,0.0
87,1,0.0
88,2,0.0
89,1,0.0
90,4,0.0
91,1,0.0
93,2,0.0
95,3,0.0
96,1,0.0
97,1,0.0
99,1,0.0
100,1,0.0
101,2,0.0
102,2,0.0
103,1,0.0
105,1,0.0
106,1,0.0
107,2,0.0
110,1,0.0
113,2,0.0
114,1,0.0
116,1,0.0
118,1,0.0
122,2,0.0
124,1,0.0
126,1,0.0
127,1,0.0
128,1,0.0
133,1,0.0
134,1,0.0
135,1,0.0
137,1,0.0
140,1,0.0
142,1,0.0
143,1,0.0
144,1,0.0
145,1,0.0
146,2,0.0
147,1,0.0
157,1,0.0
158,2,0.0
171,1,0.0
173,1,0.0
174,1,0.0
194,1,0.0
197,1,0.0
204,1,0.0
208,1,0.0
228,1,0.0
245,1,0.0
251,1,0.0
252,1,0.0
258,1,0.0
273,1,0.0
288,1,0.0
294,1,0.0
308,1,0.0
351,1,0.0
413,1,0.0
467,1,0.0
922,1,0.0
1177,1,0.0
