metric,value,share_pct,basis
declared environment variables,174265,100.0,all published versions
required variables,31305,17.96,all published versions
variables marked secret,46242,26.54,all published versions
"credential-named, explicit tier",39635,22.74,all published versions
"credential-named, ambiguous tier",4020,2.31,all published versions
"credential-named, both tiers",43655,25.05,all published versions
credential-named and NOT marked secret,2421,1.39,all published versions
"... of those, explicit tier",2285,1.31,all published versions
"... of those, ambiguous tier",136,0.08,all published versions
"credential-named, NOT marked secret, and required",604,0.35,all published versions
permissive rule: variables that look like credentials,78695,45.16,all published versions
"permissive rule: look like credentials, NOT marked secret",34704,19.91,all published versions
declarations demoted by adjudication,46,0.03,all published versions
"... of those, with no secret flag",46,0.03,all published versions
variables with a default value,50653,29.07,all published versions
servers declaring at least one env var,7515,,all published versions
servers declaring at least one credential-named variable,5714,,all published versions
servers declaring a credential-named variable with no secret flag,209,,all published versions
