var_name,declarations,servers,secret_flagged,secret_flagged_pct
LOG_LEVEL,1924,202,0,0.0
MCP_TRANSPORT,1170,183,0,0.0
MCP_LICENSE_KEY,1549,154,1549,100.0
MCP_HTTP_PORT,2509,143,0,0.0
MCP_LOG_LEVEL,4856,140,0,0.0
MCP_HTTP_HOST,2450,139,0,0.0
AUTH_MODE,859,137,0,0.0
ANTHROPIC_API_KEY,518,132,515,99.4
MCP_AUTH_MODE,2384,130,0,0.0
MCP_HTTP_ENDPOINT_PATH,2384,129,0,0.0
OPENAI_API_KEY,554,114,552,99.6
APIFY_TOKEN,162,78,162,100.0
YOUR_API_KEY,94,73,94,100.0
GEMINI_API_KEY,367,70,363,98.9
GITHUB_TOKEN,414,67,413,99.8
PORT,594,61,5,0.8
DATABASE_URL,169,52,94,55.6
EVM_PRIVATE_KEY,192,32,192,100.0
RUNAPI_API_KEY,317,32,317,100.0
GOOGLE_CLIENT_ID,405,29,11,2.7
GOOGLE_CLIENT_SECRET,405,29,394,97.3
THREE_WS_BASE,77,28,0,0.0
GOOGLE_APPLICATION_CREDENTIALS,119,27,34,28.6
SOLANA_RPC_URL,83,26,12,14.5
OPENROUTER_API_KEY,246,26,246,100.0
THREE_WS_TIMEOUT_MS,69,25,0,0.0
HASDATA_API_KEY,180,25,180,100.0
ACEDATACLOUD_API_TOKEN,926,24,926,100.0
WALLET_PRIVATE_KEY,51,23,50,98.0
GOOGLE_API_KEY,39,22,37,94.9
