server_name,tools,with_description,with_schema,mean_desc_words
io.github.neverinfamous/postgres-mcp,319,319,0,13.6
io.github.cvrt-jh/wordpress-mcp,200,200,0,6.0
io.github.industrial-aiops/iaiops,199,199,0,83.8
io.github.CodesWhat/portkey-admin-mcp,179,179,0,30.0
io.github.sijunkim/db-gateway,169,169,0,9.3
io.github.Damien829/aipaygen,158,158,0,9.3
ai.oobeprotocol.sap.mcp/sap-mcp,152,152,0,16.2
io.github.enessari/metabase-ai-assistant,134,134,0,11.8
io.github.DanceNitra/inspeximus,133,133,0,74.2
io.github.BenAHammond/code-auditor-mcp,133,133,0,9.3
io.github.Tom-R-Main/mcp-server,129,129,0,14.6
io.mailtrap/mcp,125,125,0,10.0
io.github.cerebrixos-org/tuning-engines,111,111,0,12.2
io.github.vishalsachdev/canvas-mcp,102,101,0,49.9
dev.ascendkit/ascendkit,98,98,0,15.7
io.github.rentahuman-ai/rentahuman,96,96,0,32.1
io.github.Coolver/home-assistant-mcp,96,96,0,18.9
io.github.ooples/mcp-console-automation,92,92,0,5.9
io.github.gpambrozio/onshape,87,87,0,12.9
io.github.vish288/mcp-gitlab,83,83,0,15.9
io.github.spruikco/send16-mcp,79,79,0,13.9
io.github.wgt19861219/godot-mcp-enhanced,79,79,0,10.2
io.github.mobabur94/hammerspoon,75,75,0,11.2
io.github.mharnett/google-ads,75,75,0,26.3
io.github.Dairus01/interswitch-mcp-server,74,74,0,8.7
io.studiomeyer/video,74,74,0,16.4
io.github.AVIDS2/memorix,72,72,0,9.0
io.github.Crumbedsausage/zuckerbot,72,72,0,43.1
io.github.Dayananda-D/devcdp,71,71,0,17.9
io.github.MadeOnSol/robinhood-chain,69,69,0,43.8
io.github.IvanBBaev/servicenow-mcp-ai,67,67,0,12.9
io.github.mikusnuz/umami,66,66,0,8.1
io.github.Samik081/mcp-adguard-home,65,65,0,10.3
io.github.ariekogan/ateam-mcp,65,65,0,21.0
io.github.imouiche/mitre-attack-mcp-server,65,65,0,86.3
io.github.jgravelle/jdocmunch-mcp,63,12,11,5.5
io.github.takiguchi-yu/google-workspace-mcp,63,63,0,27.1
com.vibgrate/ai-context,61,61,0,21.1
io.github.cryptyx-ai/cryptyx-mcp-server,61,61,0,11.3
io.github.lightningfaucet/lightning-wallet-mcp,59,59,0,24.7
io.github.nagameTW/mcp-server-malcolm,58,58,0,137.1
io.github.RCOLKITT/vasperamemory,58,58,0,12.3
com.rcs-campaigns/campaigns,58,58,0,20.6
io.github.helixdata/gopherhole,57,57,0,19.4
io.github.ariffazil/aaa-mcp,55,50,0,29.3
io.github.pachote/nira-video-mcp,55,55,0,30.7
io.github.oaslananka/ssh-mcp-pro,54,54,0,9.7
io.github.hoklims/stacksfinder,53,53,0,21.0
com.aave/mcp,53,53,0,22.3
io.github.JustasMonkev/mcp-accessibility-scanner,52,52,0,11.5
io.github.TecniForgeMaryam/androidapi-mcp,52,52,0,7.8
ai.fodda/mcp-server,51,51,0,41.3
io.github.rudraptpsingh/figbridge,51,51,0,31.4
io.github.carloshpdoc/memorydetective,51,51,39,7.3
io.github.depixapp/depix-mcp,50,50,50,17.1
io.github.omnicoreos/planka-mcp,49,49,0,12.8
io.github.AIops-tools/minio-aiops,49,49,0,61.7
io.github.nagarjunr/aws-iot-core,48,48,0,12.0
io.github.oozoofrog/baepsae,47,47,0,12.6
