quantity,value_pct,ci95_low,ci95_high,n,basis
description states the purpose,93.5,90.0,96.5,200,coded tool definitions
description explains the inputs,61.0,54.0,67.5,200,coded tool definitions
description names side effects,38.5,32.0,45.0,200,coded tool definitions
description states when to use,23.0,17.5,29.0,200,coded tool definitions
confusable with a sibling tool,93.5,90.0,96.5,200,coded tool definitions
authentication mechanism identified,64.0,56.7,71.3,150,coded servers
no authentication required,34.7,27.3,42.7,150,coded servers
write capability,34.0,26.7,42.0,150,coded servers
broad scope,31.3,24.0,38.7,150,coded servers
broad scope and write capability,22.0,15.3,28.7,150,coded servers
packages yielding at least one tool,56.3,53.6,59.2,1200,sampled packages
servers with no tagged release,59.3,56.1,62.5,914,sampled repositories
"Spearman correlation, registry versions vs releases",0.379,0.314,0.442,914,sampled repositories
"unflagged credential names, of credential-named (whole-word rule, all published versions)",5.5,3.9,7.5,43655,all published versions
"unflagged credential names, of all declared (whole-word rule, all published versions)",1.4,1.0,1.9,174265,all published versions
"unflagged credential names, of credential-named (permissive substring rule, all published versions)",44.1,40.4,47.5,78695,all published versions
"unflagged credential names, of all declared (permissive substring rule, all published versions)",19.9,18.3,21.6,174265,all published versions
"unflagged credential names, of credential-named (whole-word rule, latest version only)",3.7,3.1,4.3,7628,latest version only
"unflagged credential names, of all declared (whole-word rule, latest version only)",1.1,0.9,1.3,25643,latest version only
"unflagged credential names, of credential-named (permissive substring rule, latest version only)",36.2,34.6,37.9,12483,latest version only
"unflagged credential names, of all declared (permissive substring rule, latest version only)",17.6,16.7,18.6,25643,latest version only
